umur,jenis_kelamin,pekerjaan,stress_level_1_5,penyebab_stres,durasi_stres,kualitas_tidur_1_5,durasi_tidur_jam,waktu_luang_mnt,aktivitas_fisik_mnt,preferensi_olahraga,preferensi_baca,preferensi_jurnal,komitmen_hari_per_minggu,tujuan_utama,anxiety_score,depression_score,self_esteem_score,study_load_1_5,peer_pressure_1_5,social_support_1_5,future_concern_1_5,aktivitas_dipilih,durasi_menit,source
23,Female,Scientist,4,Lainnya,>1 bulan,3,6.7,153,57,2,3,4,7,Meningkatkan Energi,14,13,19,4,3,3,3,journaling,20,StudentCopingMechanisms
20,Male,Student,3,Sosial,2-4 minggu,1,5.5,103,39,2,4,4,4,Tidur Lebih Baik,7,24,13,5,3,1,3,membaca,30,StudentStressFactors
22,Female,Student,2,Lainnya,1-2 minggu,5,8.1,200,45,3,4,3,4,Menenangkan Pikiran,6,5,23,3,3,4,1,membaca,45,StudentStressFactors
48,Female,Scientist,2,Akademik,1-2 minggu,4,7.7,170,44,4,4,2,4,Lebih Produktif,5,5,26,1,3,3,2,membaca,30,StudentStressFactors
39,Male,Teacher,3,Lainnya,1-2 minggu,4,7.4,168,31,2,3,2,3,Meningkatkan Energi,8,10,24,4,4,4,4,membaca,45,StudentCopingMechanisms
22,Male,Student,2,Lainnya,<1 minggu,5,8.1,180,75,3,2,1,4,Meningkatkan Energi,2,0,29,1,1,4,1,olahraga,45,StudentCopingMechanisms
26,Male,Student,1,Lainnya,2-4 minggu,5,9.0,180,75,3,2,2,2,Lebih Produktif,2,0,26,1,1,5,1,olahraga,30,StudentCopingMechanisms
19,Female,Student,2,Sosial,<1 minggu,5,8.3,198,45,3,3,1,2,Meningkatkan Energi,4,6,22,3,1,3,2,membaca,30,SleepHealthLifestyle
53,Male,Scientist,3,Akademik,>1 bulan,4,7.8,138,51,2,3,1,5,Menenangkan Pikiran,7,12,20,3,3,4,2,membaca,45,StudentStressFactors
17,Female,Student,1,Akademik,<1 minggu,5,6.8,101,41,4,3,3,3,Meningkatkan Energi,13,17,18,5,1,3,3,olahraga,30,StudentStressFactors
27,Male,Student,3,Keuangan,2-4 minggu,4,7.2,180,45,4,3,1,4,Lebih Produktif,5,4,23,1,2,3,1,olahraga,45,StudentCopingMechanisms
22,Male,Student,3,Akademik,<1 minggu,3,6.9,194,61,4,3,2,3,Meningkatkan Energi,11,9,23,2,4,3,2,journaling,30,SleepHealthLifestyle
27,Male,Scientist,4,Lainnya,2-4 minggu,2,6.3,118,48,3,3,3,4,Mengurangi Stres,14,12,17,3,4,1,5,journaling,25,SleepHealthLifestyle
19,Male,Student,2,Akademik,<1 minggu,4,6.8,172,45,2,2,1,3,Lebih Produktif,3,2,25,1,2,4,1,membaca,30,StudentCopingMechanisms
28,Female,Engineer,4,Sosial,1-2 minggu,3,7.2,167,28,1,2,3,4,Lebih Produktif,11,14,17,5,5,2,3,journaling,20,StudentStressFactors
23,Female,Student,4,Akademik,1-2 minggu,2,7.5,142,52,3,3,3,6,Tidur Lebih Baik,11,14,21,3,3,3,4,journaling,25,SleepHealthLifestyle
50,Female,Nurse,3,Pekerjaan,<1 minggu,4,6.7,141,61,4,3,1,6,Meningkatkan Energi,10,9,21,3,3,2,3,olahraga,60,StudentCopingMechanisms
24,Female,Software Engineer,3,Pekerjaan,2-4 minggu,2,7.6,138,65,3,3,2,5,Tidur Lebih Baik,6,9,23,4,3,2,4,membaca,45,StudentStressFactors
21,Male,Student,2,Akademik,2-4 minggu,3,8.1,200,62,4,4,1,4,Lebih Produktif,8,8,24,2,3,5,2,membaca,45,SleepHealthLifestyle
29,Female,Lawyer,5,Lainnya,>1 bulan,2,6.0,107,30,2,3,3,7,Tidur Lebih Baik,17,16,14,5,4,1,4,journaling,30,StudentCopingMechanisms
30,Female,Manager,4,Lainnya,1-2 minggu,2,6.3,126,52,3,3,4,7,Tidur Lebih Baik,15,11,16,5,3,2,3,journaling,25,StudentCopingMechanisms
52,Male,Engineer,4,Sosial,<1 minggu,1,6.8,142,55,3,3,4,6,Tidur Lebih Baik,14,12,19,4,4,3,5,journaling,25,StudentStressFactors
24,Male,Student,4,Akademik,1-2 minggu,3,6.5,159,45,3,4,3,5,Lebih Produktif,3,4,18,2,3,4,3,membaca,45,StudentCopingMechanisms
50,Male,Software Engineer,3,Pekerjaan,1-2 minggu,4,7.8,137,65,4,3,2,4,Meningkatkan Energi,7,10,26,3,4,2,3,membaca,45,StudentCopingMechanisms
18,Female,Student,4,Keuangan,>1 bulan,3,6.8,148,41,3,3,4,5,Lebih Produktif,7,9,16,3,4,1,4,journaling,20,SleepHealthLifestyle
53,Male,Sales Representative,4,Keuangan,>1 bulan,3,7.1,114,33,3,3,4,6,Lebih Produktif,11,15,13,3,4,2,5,journaling,20,StudentCopingMechanisms
40,Male,Accountant,3,Keuangan,2-4 minggu,2,6.9,168,57,4,4,3,4,Tidur Lebih Baik,8,11,20,2,4,3,4,membaca,30,SleepHealthLifestyle
25,Female,Student,3,Akademik,2-4 minggu,3,7.8,197,45,3,2,2,4,Lebih Produktif,10,8,17,3,2,2,3,olahraga,30,StudentStressFactors
30,Male,Accountant,1,Akademik,<1 minggu,5,7.3,168,45,3,3,2,2,Meningkatkan Energi,20,10,26,1,1,5,3,membaca,45,StudentStressFactors
22,Female,Software Engineer,3,Pekerjaan,1-2 minggu,3,7.3,137,36,2,4,1,4,Lebih Produktif,9,7,24,4,4,2,2,membaca,30,SleepHealthLifestyle
21,Male,Student,1,Akademik,2-4 minggu,3,6.1,180,46,3,3,4,3,Tidur Lebih Baik,6,26,15,1,2,2,3,membaca,45,StudentStressFactors
51,Female,Scientist,3,Pekerjaan,2-4 minggu,3,7.7,145,37,4,4,1,6,Lebih Produktif,9,10,25,4,3,3,2,olahraga,45,StudentStressFactors
21,Female,Student,5,Keuangan,1-2 minggu,5,5.6,167,42,3,3,4,7,Mengurangi Stres,7,14,5,3,1,2,3,journaling,25,StudentStressFactors
27,Female,Student,1,Lainnya,<1 minggu,5,8.3,180,75,4,1,1,3,Meningkatkan Energi,0,2,25,1,1,4,1,olahraga,45,StudentCopingMechanisms
23,Female,Student,3,Akademik,<1 minggu,2,8.1,136,49,4,2,1,5,Mengurangi Stres,8,10,19,2,2,3,3,olahraga,60,SleepHealthLifestyle
25,Female,Student,1,Akademik,<1 minggu,1,6.4,180,45,4,1,3,4,Tidur Lebih Baik,0,21,26,2,2,3,4,journaling,30,StudentStressFactors
46,Male,Nurse,4,Lainnya,2-4 minggu,2,6.1,112,25,1,3,2,6,Tidur Lebih Baik,13,11,22,3,5,3,3,membaca,45,StudentStressFactors
50,Male,Software Engineer,5,Akademik,2-4 minggu,1,6.3,115,36,3,2,4,7,Tidur Lebih Baik,17,15,13,4,5,1,5,journaling,30,StudentCopingMechanisms
24,Female,Student,3,Sosial,2-4 minggu,3,6.2,120,38,3,3,4,5,Lebih Produktif,11,24,28,3,3,3,3,journaling,25,StudentStressFactors
57,Female,Engineer,3,Lainnya,2-4 minggu,4,7.0,200,47,3,4,1,6,Meningkatkan Energi,9,9,20,3,2,3,2,membaca,45,SleepHealthLifestyle
21,Male,Student,1,Akademik,1-2 minggu,3,6.6,180,55,2,1,3,3,Tidur Lebih Baik,7,2,5,1,4,1,5,membaca,30,StudentStressFactors
27,Female,Lawyer,5,Keuangan,1-2 minggu,1,6.6,92,25,3,4,4,6,Tidur Lebih Baik,17,16,20,4,4,1,5,journaling,25,SleepHealthLifestyle
47,Female,Scientist,4,Pekerjaan,1-2 minggu,2,6.9,140,28,1,3,3,6,Tidur Lebih Baik,11,9,17,3,5,2,4,membaca,45,SleepHealthLifestyle
56,Male,Teacher,2,Pekerjaan,<1 minggu,5,8.0,200,49,3,3,2,2,Lebih Produktif,6,5,23,2,3,4,1,membaca,45,StudentCopingMechanisms
32,Female,Nurse,3,Pekerjaan,2-4 minggu,3,8.0,183,35,3,2,3,3,Meningkatkan Energi,8,10,17,2,4,3,2,olahraga,30,StudentCopingMechanisms
27,Female,Engineer,3,Pekerjaan,<1 minggu,4,6.4,165,65,4,4,2,6,Menenangkan Pikiran,8,7,21,3,4,4,3,membaca,60,StudentStressFactors
29,Male,Scientist,2,Lainnya,2-4 minggu,4,8.5,200,70,4,3,1,3,Lebih Produktif,7,3,23,2,3,5,3,olahraga,45,StudentStressFactors
23,Male,Student,1,Akademik,<1 minggu,1,5.7,180,46,2,1,4,3,Mengurangi Stres,12,22,5,1,3,3,3,journaling,25,StudentStressFactors
27,Male,Student,2,Keuangan,2-4 minggu,4,6.7,140,45,4,2,2,4,Menenangkan Pikiran,4,5,27,2,2,4,1,olahraga,45,StudentCopingMechanisms
53,Male,Scientist,3,Pekerjaan,>1 bulan,2,6.5,174,54,3,2,2,4,Mengurangi Stres,8,10,18,2,3,2,3,membaca,30,StudentStressFactors
24,Female,Student,4,Akademik,2-4 minggu,2,7.2,135,33,2,4,3,7,Mengurangi Stres,10,11,17,5,5,2,5,membaca,60,StudentStressFactors
47,Male,Accountant,2,Sosial,<1 minggu,4,8.1,196,49,3,3,1,2,Lebih Produktif,8,7,23,1,3,3,2,olahraga,30,StudentCopingMechanisms
41,Male,Nurse,4,Pekerjaan,2-4 minggu,2,7.4,167,34,1,4,4,5,Mengurangi Stres,13,16,18,4,4,2,5,journaling,20,SleepHealthLifestyle
18,Female,Student,2,Sosial,2-4 minggu,5,8.0,200,68,4,4,3,4,Lebih Produktif,6,4,26,2,3,3,1,membaca,30,StudentStressFactors
17,Male,Student,5,Keuangan,1-2 minggu,5,5.8,149,27,2,2,4,7,Mengurangi Stres,21,11,6,4,1,2,4,journaling,25,StudentStressFactors
19,Male,Student,3,Lainnya,1-2 minggu,4,6.9,180,45,3,1,2,5,Meningkatkan Energi,3,7,21,2,2,3,3,olahraga,45,StudentCopingMechanisms
56,Male,Manager,4,Sosial,2-4 minggu,1,6.6,171,25,3,4,3,6,Tidur Lebih Baik,10,10,14,4,3,2,5,membaca,45,StudentStressFactors
17,Female,Student,5,Keuangan,1-2 minggu,2,5.4,180,44,3,3,4,7,Tidur Lebih Baik,1,0,14,2,1,2,4,journaling,20,StudentStressFactors
34,Female,Lawyer,5,Keuangan,1-2 minggu,2,5.7,110,45,4,3,4,7,Mengurangi Stres,16,14,16,4,4,1,5,journaling,30,SleepHealthLifestyle
22,Female,Student,4,Akademik,1-2 minggu,3,7.0,121,45,3,4,4,5,Meningkatkan Energi,4,8,24,2,3,3,3,membaca,45,StudentCopingMechanisms
50,Male,Doctor,5,Pekerjaan,2-4 minggu,1,7.6,119,35,3,2,3,6,Mengurangi Stres,15,18,13,5,5,1,5,journaling,30,SleepHealthLifestyle
37,Female,Nurse,5,Sosial,1-2 minggu,2,5.8,87,18,1,2,4,7,Mengurangi Stres,14,13,16,5,5,2,5,journaling,20,StudentStressFactors
32,Male,Engineer,4,Lainnya,>1 bulan,1,6.3,144,53,3,2,4,7,Tidur Lebih Baik,11,12,15,4,3,2,3,journaling,25,StudentCopingMechanisms
57,Female,Manager,4,Sosial,2-4 minggu,1,6.9,169,25,1,4,3,6,Tidur Lebih Baik,12,12,18,5,3,3,5,membaca,60,SleepHealthLifestyle
28,Male,Scientist,2,Pekerjaan,<1 minggu,5,6.7,200,71,4,4,1,3,Lebih Produktif,6,7,20,2,2,4,1,olahraga,45,SleepHealthLifestyle
20,Female,Accountant,2,Keuangan,<1 minggu,3,6.7,150,66,3,2,2,3,Menenangkan Pikiran,4,5,19,1,2,4,2,membaca,45,SleepHealthLifestyle
25,Male,Student,4,Lainnya,2-4 minggu,3,7.4,117,45,3,4,4,6,Mengurangi Stres,7,8,20,3,3,4,2,journaling,25,StudentCopingMechanisms
44,Male,Engineer,4,Pekerjaan,>1 bulan,2,6.2,129,24,3,2,4,7,Mengurangi Stres,13,12,18,3,4,2,4,journaling,25,StudentCopingMechanisms
25,Female,Student,5,Keuangan,>1 bulan,2,5.6,180,36,1,2,4,6,Tidur Lebih Baik,0,23,30,1,2,3,4,journaling,25,StudentStressFactors
38,Male,Content Creator,4,Keuangan,>1 bulan,1,7.3,131,51,3,3,4,5,Tidur Lebih Baik,13,12,10,4,5,1,3,journaling,25,SleepHealthLifestyle
57,Female,Engineer,3,Sosial,2-4 minggu,4,6.8,200,64,4,3,2,4,Lebih Produktif,9,6,22,3,4,4,3,olahraga,45,SleepHealthLifestyle
18,Male,Student,2,Akademik,<1 minggu,5,8.3,191,53,2,3,2,3,Lebih Produktif,5,3,24,2,2,3,3,membaca,30,SleepHealthLifestyle
35,Female,Manager,3,Sosial,<1 minggu,2,7.3,167,51,4,4,3,6,Tidur Lebih Baik,11,9,23,3,3,3,2,membaca,45,StudentStressFactors
17,Female,Student,4,Keuangan,>1 bulan,3,6.0,176,55,3,3,4,5,Mengurangi Stres,10,9,20,5,4,1,3,journaling,25,StudentCopingMechanisms
20,Female,Student,1,Akademik,1-2 minggu,3,6.7,180,53,2,2,4,2,Tidur Lebih Baik,9,9,24,3,3,3,3,journaling,30,StudentStressFactors
42,Female,Teacher,4,Keuangan,1-2 minggu,2,6.1,143,40,4,2,4,5,Mengurangi Stres,6,6,13,4,3,3,3,olahraga,60,SleepHealthLifestyle
38,Male,Accountant,3,Pekerjaan,1-2 minggu,3,7.1,161,57,4,4,2,6,Lebih Produktif,10,10,22,4,4,4,3,membaca,45,StudentStressFactors
24,Male,Student,3,Sosial,2-4 minggu,1,6.1,180,54,2,2,2,3,Tidur Lebih Baik,3,0,17,2,3,3,3,membaca,30,StudentStressFactors
24,Male,Student,1,Akademik,<1 minggu,5,6.8,180,60,4,1,3,3,Menenangkan Pikiran,20,18,24,3,1,1,3,journaling,25,StudentStressFactors
32,Female,Software Engineer,4,Pekerjaan,2-4 minggu,3,7.4,157,24,2,3,4,6,Meningkatkan Energi,12,12,16,4,5,2,5,journaling,25,StudentStressFactors
37,Female,Manager,4,Pekerjaan,2-4 minggu,1,7.2,136,32,3,3,3,6,Mengurangi Stres,14,10,17,3,5,3,3,journaling,20,StudentStressFactors
27,Male,Student,4,Lainnya,>1 bulan,3,7.0,111,20,3,3,3,5,Lebih Produktif,3,7,19,3,3,4,2,olahraga,60,StudentCopingMechanisms
22,Male,Student,2,Akademik,2-4 minggu,4,7.0,200,47,3,4,1,5,Meningkatkan Energi,6,4,25,1,2,5,3,membaca,45,StudentCopingMechanisms
40,Male,Software Engineer,3,Akademik,1-2 minggu,4,7.7,146,50,3,4,2,4,Meningkatkan Energi,12,7,22,2,4,4,4,membaca,45,SleepHealthLifestyle
25,Female,Student,3,Akademik,1-2 minggu,2,7.9,160,44,3,1,2,5,Tidur Lebih Baik,11,8,18,4,4,4,2,olahraga,45,StudentCopingMechanisms
19,Male,Student,4,Sosial,>1 bulan,2,6.6,158,32,1,3,2,6,Mengurangi Stres,12,12,19,3,5,2,4,membaca,45,StudentStressFactors
23,Female,Student,3,Keuangan,1-2 minggu,4,5.9,144,45,3,1,1,4,Menenangkan Pikiran,6,7,20,2,2,3,1,olahraga,30,StudentCopingMechanisms
38,Female,Scientist,3,Keuangan,<1 minggu,3,6.9,142,45,3,3,2,3,Meningkatkan Energi,2,6,20,1,2,4,2,membaca,45,SleepHealthLifestyle
45,Male,Engineer,3,Akademik,1-2 minggu,3,7.8,180,37,2,4,2,4,Meningkatkan Energi,9,7,28,3,3,3,2,membaca,45,StudentCopingMechanisms
26,Male,Student,5,Akademik,>1 bulan,2,4.9,159,20,3,3,3,7,Tidur Lebih Baik,5,9,16,2,4,2,5,journaling,25,StudentCopingMechanisms
38,Male,Healthcare Worker,4,Pekerjaan,2-4 minggu,1,5.8,150,42,3,4,4,5,Tidur Lebih Baik,13,10,21,3,5,3,5,membaca,45,StudentStressFactors
29,Female,Scientist,4,Sosial,>1 bulan,2,7.1,162,56,3,4,3,5,Mengurangi Stres,12,13,17,5,4,3,3,membaca,60,StudentCopingMechanisms
51,Female,Accountant,2,Akademik,1-2 minggu,5,7.3,193,53,3,4,2,5,Menenangkan Pikiran,7,4,20,2,1,5,1,membaca,45,StudentStressFactors
18,Female,Student,2,Keuangan,<1 minggu,5,8.1,180,75,4,3,2,3,Menenangkan Pikiran,0,2,26,1,1,3,1,olahraga,30,StudentCopingMechanisms
24,Female,Student,4,Akademik,1-2 minggu,3,5.3,129,20,2,4,3,5,Lebih Produktif,5,8,20,3,4,3,3,membaca,45,StudentCopingMechanisms
31,Male,Nurse,4,Pekerjaan,2-4 minggu,1,7.5,121,31,3,4,3,7,Mengurangi Stres,12,10,17,3,5,2,4,membaca,60,SleepHealthLifestyle
53,Female,Doctor,4,Pekerjaan,2-4 minggu,2,7.3,118,31,2,3,2,6,Tidur Lebih Baik,11,10,20,3,5,1,5,membaca,60,StudentCopingMechanisms
24,Female,Student,4,Akademik,>1 bulan,3,7.2,134,37,3,4,4,5,Mengurangi Stres,11,13,18,4,5,1,3,membaca,60,SleepHealthLifestyle
17,Female,Student,4,Akademik,2-4 minggu,1,8.2,125,47,3,4,4,7,Tidur Lebih Baik,12,13,18,4,3,2,5,membaca,45,StudentCopingMechanisms
23,Female,Student,5,Akademik,>1 bulan,2,5.7,82,20,2,4,4,7,Tidur Lebih Baik,7,7,18,4,4,2,4,journaling,20,StudentCopingMechanisms
23,Male,Student,5,Keuangan,<1 minggu,3,5.3,147,30,2,2,4,7,Mengurangi Stres,0,24,17,3,3,3,3,journaling,30,StudentStressFactors
25,Female,Student,5,Keuangan,1-2 minggu,3,6.0,180,30,2,3,3,6,Mengurangi Stres,1,16,23,3,4,2,2,membaca,60,StudentStressFactors
42,Female,Nurse,4,Keuangan,1-2 minggu,3,6.7,151,44,2,4,4,7,Lebih Produktif,14,12,19,3,4,2,4,journaling,20,StudentStressFactors
23,Female,Engineer,2,Pekerjaan,1-2 minggu,3,8.1,196,60,4,4,2,3,Meningkatkan Energi,7,1,22,2,2,5,3,membaca,30,SleepHealthLifestyle
24,Male,Student,3,Sosial,1-2 minggu,1,5.8,145,32,1,4,3,5,Mengurangi Stres,21,27,15,3,5,2,3,membaca,45,StudentStressFactors
22,Female,Student,2,Lainnya,<1 minggu,4,7.7,177,75,3,3,2,2,Meningkatkan Energi,0,1,26,2,1,5,2,membaca,30,StudentCopingMechanisms
54,Male,Teacher,2,Akademik,>1 bulan,4,7.0,156,45,3,4,2,5,Tidur Lebih Baik,5,6,20,3,1,3,1,membaca,60,StudentCopingMechanisms
36,Male,Doctor,5,Keuangan,1-2 minggu,1,7.6,119,48,3,3,3,7,Tidur Lebih Baik,15,15,15,4,5,1,4,journaling,25,SleepHealthLifestyle
24,Female,Student,2,Sosial,2-4 minggu,5,7.2,200,65,4,4,1,5,Menenangkan Pikiran,6,6,27,1,2,4,2,membaca,45,StudentCopingMechanisms
18,Female,Student,4,Lainnya,>1 bulan,3,6.7,142,28,3,3,4,6,Lebih Produktif,11,10,17,5,4,2,4,olahraga,60,StudentCopingMechanisms
19,Female,Student,5,Akademik,>1 bulan,2,5.3,106,20,2,3,4,7,Tidur Lebih Baik,6,10,12,4,5,3,4,membaca,45,StudentCopingMechanisms
18,Male,Student,4,Akademik,1-2 minggu,3,7.8,176,38,2,4,4,5,Lebih Produktif,12,14,16,3,3,3,3,membaca,60,StudentStressFactors
25,Male,Student,3,Sosial,1-2 minggu,2,7.5,200,62,4,4,2,6,Mengurangi Stres,9,6,20,3,4,2,3,membaca,60,StudentCopingMechanisms
22,Female,Student,3,Sosial,1-2 minggu,3,6.3,180,51,4,1,4,4,Tidur Lebih Baik,16,23,0,3,3,3,1,journaling,30,StudentStressFactors
34,Male,Nurse,3,Pekerjaan,2-4 minggu,3,7.4,191,60,4,2,2,6,Lebih Produktif,10,10,17,2,3,4,2,olahraga,60,StudentStressFactors
33,Male,Accountant,4,Pekerjaan,1-2 minggu,3,7.3,155,51,3,3,3,6,Mengurangi Stres,11,12,18,5,3,2,3,journaling,25,StudentCopingMechanisms
44,Female,Engineer,3,Sosial,1-2 minggu,2,6.9,195,36,3,3,1,4,Mengurangi Stres,9,6,22,3,3,4,4,membaca,45,StudentStressFactors
54,Female,Nurse,4,Sosial,1-2 minggu,3,6.7,112,24,2,4,3,5,Mengurangi Stres,12,11,19,4,5,2,5,membaca,60,StudentCopingMechanisms
20,Female,Student,2,Keuangan,<1 minggu,4,7.3,160,45,3,2,1,2,Menenangkan Pikiran,5,4,24,2,2,3,1,olahraga,30,StudentCopingMechanisms
39,Male,Healthcare Worker,5,Pekerjaan,1-2 minggu,1,6.4,144,19,3,4,2,6,Mengurangi Stres,13,12,16,4,5,2,4,membaca,60,StudentStressFactors
24,Male,Student,4,Sosial,1-2 minggu,1,6.2,119,26,2,2,3,6,Tidur Lebih Baik,13,11,19,4,3,1,4,olahraga,45,SleepHealthLifestyle
36,Female,Freelancer,4,Sosial,1-2 minggu,2,7.2,151,41,3,3,3,6,Tidur Lebih Baik,13,13,17,3,5,3,4,membaca,60,SleepHealthLifestyle
44,Male,Manager,4,Pekerjaan,<1 minggu,3,7.6,118,56,4,3,4,7,Lebih Produktif,14,6,18,3,5,2,4,journaling,25,StudentStressFactors
20,Male,Student,4,Akademik,1-2 minggu,3,7.6,129,27,2,4,4,7,Meningkatkan Energi,10,17,20,5,3,2,3,journaling,25,SleepHealthLifestyle
23,Female,Student,3,Sosial,1-2 minggu,2,7.4,192,50,3,1,1,3,Tidur Lebih Baik,7,9,17,2,4,4,3,membaca,30,StudentCopingMechanisms
18,Female,Student,2,Lainnya,1-2 minggu,4,7.0,179,45,2,2,1,2,Menenangkan Pikiran,2,4,21,2,2,3,2,membaca,30,StudentCopingMechanisms
25,Female,Student,2,Akademik,1-2 minggu,4,7.8,184,47,4,4,3,4,Menenangkan Pikiran,6,8,25,2,3,3,2,olahraga,30,StudentStressFactors
28,Male,Software Engineer,5,Sosial,<1 minggu,2,6.4,99,24,1,4,4,6,Tidur Lebih Baik,15,17,14,4,5,2,4,journaling,20,SleepHealthLifestyle
35,Female,Doctor,4,Keuangan,2-4 minggu,3,6.9,138,30,2,3,3,5,Mengurangi Stres,12,14,18,3,3,1,5,membaca,60,StudentStressFactors
31,Male,Content Creator,2,Pekerjaan,<1 minggu,5,8.4,200,66,4,4,1,5,Menenangkan Pikiran,5,6,26,1,2,3,1,membaca,60,StudentCopingMechanisms
49,Female,Engineer,2,Lainnya,1-2 minggu,3,8.0,172,54,4,3,3,4,Lebih Produktif,3,7,21,2,1,3,1,olahraga,45,StudentCopingMechanisms
17,Male,Student,2,Akademik,<1 minggu,4,7.6,200,44,3,4,3,4,Meningkatkan Energi,8,6,24,2,1,5,1,membaca,45,SleepHealthLifestyle
20,Male,Student,4,Akademik,1-2 minggu,3,6.8,154,43,4,4,3,5,Mengurangi Stres,11,16,12,5,4,3,3,journaling,25,StudentCopingMechanisms
29,Male,Graphic Designer,2,Lainnya,<1 minggu,3,7.6,200,40,3,3,2,2,Lebih Produktif,6,4,25,1,1,4,1,membaca,45,StudentCopingMechanisms
36,Female,Freelancer,2,Keuangan,1-2 minggu,3,7.5,200,52,2,4,2,5,Meningkatkan Energi,5,2,25,1,3,3,1,membaca,45,StudentStressFactors
23,Male,Student,2,Lainnya,<1 minggu,5,7.0,180,75,4,1,1,3,Meningkatkan Energi,9,9,27,2,1,3,1,olahraga,45,StudentCopingMechanisms
18,Male,Student,2,Lainnya,<1 minggu,4,7.5,180,45,3,2,2,2,Lebih Produktif,3,2,21,1,2,4,1,membaca,45,StudentCopingMechanisms
23,Female,Student,4,Akademik,1-2 minggu,2,6.4,174,30,3,4,3,7,Tidur Lebih Baik,10,8,19,4,3,1,3,membaca,60,SleepHealthLifestyle
